2   1   43   5   2  33  16   1    2   12   3   2 -100 -100    2    1 2024
2   5 -100   5   0  64  16   1    1   12   2   2 -100    2 -100    2 2024
3   5 -100   1   0  69  14   2    1   12   2   2    2 -100 -100    3 2024
1   2   20   5   0  19  12   1    3   12   2   2    2 -100    1    4 2024
3   5 -100   3   3  70  13   2    1   12   3   2    2 -100 -100    5 2024
2   4 -100   1   2  53  14   1    3    7   2   2 -100 -100    1    6 2024
2   1   80   1   6  48  13   2    1   12   2   2 -100 -100    1    7 2024
3   6 -100   3   1  30  14   2    1    8   3   2    1    2 -100    8 2024
3   1   50   1   2  60  14   2    2   12   1   2    2 -100    2    9 2024
1   4 -100   5   0  25  12   1    2 -100   2   2    2 -100    2   10 2024
2   1   35   5   0  23  18   2    1   12   2   2 -100 -100    2   11 2024
2   5 -100   2   1  68   5   2    1    8   1   1 -100 -100 -100   12 2024
2   1   60   3   2  43  14   2    1   12   2   3 -100 -100    1   13 2024
2   1   40   3   1  37  12   2    1   12   3   2 -100 -100    2   14 2024
1   1   60   3   3  63  12   2    1   10   1   3    1 -100    1   15 2024
1   1   37   1   1  31  19   2    1   12   1   1    1 -100    2   16 2024
3   1   55   1   2  64  16   1    1   12   2   2    2    3    2   17 2024
1   5 -100   1 -97 -99  13 -97    1  -97   1   2    2 -100 -100   18 2024
2   2   35   1   1  63  11   2    1   12   1   2 -100 -100    1   19 2024
1   2   24   3   2  41   8   2    1   12   2   2    1 -100    3   20 2024
1   5 -100   3   2  75  13   2    1   12   2   2    1 -100 -100   21 2024
1   1   40   1   2  51  16   2    3   12   2   1    1 -100    3   22 2024
3   1   40   3   0  69  14   1    1   12   2   2    1 -100    2   23 2024
2   3 -100   1   1  48  12   1    1   12   3   2 -100 -100    1   24 2024
2   1   36   1   2  58  14   1    3   12   2   2 -100    2    3   25 2024
3   2   15   1   3  71  18   1    1   12   1   2    1 -100    1   26 2024
3   5 -100   1   2  73  16   2    1   12   2   2    2    2 -100   27 2024
3   5 -100   1   3  74  14   2    1   12   2   2    2    3 -100   28 2024
3   3 -100   1   2  56  14   2    1   12   1   2    1    2    1   29 2024
2   1   50   1   3  40  14   1    3  -97   3   2 -100 -100    2   30 2024
3   4 -100   1   1  55  13   2    1 -100   3   2    2 -100    1   31 2024
1   3 -100   1   2  55  18   2    1  -90   2   2    1 -100    1   32 2024
2   1   89   5   0  31  12   1    3   12   2   1 -100    2    2   33 2024
1   1   40   5   0  61  18   2    1   12   3   3    3 -100    3   34 2024
3   2   24   5   0  71  12   2    1   12   2   2    2 -100    2   35 2024
2   5 -100   1 -99  70  16   2    1 -100   1   2 -100 -100 -100   36 2024
2   7 -100   1   1  60  16   2    1   12   1   1 -100    2    1   37 2024
3   4 -100   5   5  57  11   2    3   12   3   2    2    2    2   38 2024
2   2   30   1   3  37  16   2    3   12   2   2 -100    2    2   39 2024
2   1   30   5   0  26  12   1    1   12   3   2 -100    2    2   40 2024
3   1   46   3   4  59  12   1    1   12   2   3    2    1    2   41 2024
3   2    9   1   3  65  12   1    1   12   2   2    2    1    1   42 2024
2   1   40   1   2  71  17   2    1   12   2   2 -100 -100    1   43 2024
3   7 -100   1   1  41  18   2    1   12   2   2    1    1    2   44 2024
3   1   50   1   3  58  17   1    1   12   2   4    2 -100    1   45 2024
2   5 -100   1   2  79  17   1    1   12   2   2 -100 -100 -100   46 2024
1   5 -100   2   0  83  16   2    1   12   1   1    1 -100 -100   47 2024
3   1   50   1   2  57  16   1    1   12   1   2    2 -100    1   48 2024
1   5 -100   1   2 -99  16   1    1   12   2   1    2 -100 -100   49 2024
2   1   40   1   2  65  11   1    1   12   2   2 -100 -100    1   50 2024
3   5 -100   1   2  74  16   2    1   12   2   2    2    1 -100   51 2024
1   1   40   1   0  61  18   2    1   12   2   2    1 -100    1   52 2024
1   1   55   5   0  24  16   2    1   12   1   2    1 -100    1   53 2024
2   4 -100   5   0  61   6   1    2    3   3   2 -100    2    1   54 2024
1   3 -100   5   0  56  16   2    3    9   2   4    2 -100    2   55 2024
3   5 -100   5   0  72  16   2    1  -90   2   3    2    1 -100   56 2024
3   7 -100   1   2 -99  12   2    1  -97   1   2    1 -100    1   57 2024
2   1  -97   3   0  49  18   2    1   12   2   2 -100 -100    2   58 2024
1   5 -100   1   2  78  13   1    1   12   3   3    2 -100 -100   59 2024
3   3 -100   5   1  63  13   2    3    9   3   3    3    2    2   60 2024
2   1   50   5   0  57  18   2    1   12   2   2 -100 -100    1   61 2024
1   1   40   5   0  26  16   1    3   12   2   2    1 -100    2   62 2024
2   5 -100   1   2  89  12   2    1    7   3   4 -100 -100 -100   63 2024
2   1   40   3   1  79  15   1    1   12   1   1 -100 -100    1   64 2024
3   1   40   5   0  22  16   2    1   12   1   1    1 -100    1   65 2024
1   4 -100   1   2  49  17   2    3   12   1   3    1 -100    2   66 2024
1   1   40   5 -99  52  16   2    1  -90   2   2    1 -100    2   67 2024
3   5 -100   3   0  70  17   1    1   12   3   2    2 -100 -100   68 2024
2   2   18   5   0  23  15   1    3 -100   2   1 -100 -100    4   69 2024
3   2   16   5   0  25  16   2    3 -100   2   2    2 -100    2   70 2024
2   4 -100   1   2  41  17   2    3   12   2   2 -100 -100    2   71 2024
3   2    5   5   0  37  16   1    3   12   3   3    3 -100    2   72 2024
1   1   50   1   0  32  16   1    1    3   2   2    2 -100    2   73 2024
2   1   35   5   0  32  16   1    3   12   1   3 -100    2    1   74 2024
2   1   56   5   4  54  12   1    2   12   2   2 -100 -100    1   75 2024
1   2    5   5   1  56  13   1    2    9   1   1    1 -100    1   76 2024
1   1   45   5   0  28  16   2    1   12   2   2    3 -100    2   77 2024
2   4 -100   5   0  46  16   2    1   12   2   1 -100    3    2   78 2024
3   6 -100   5   0  20  14   2    3 -100   3   2    1    2 -100   79 2024
1   2   20   5   0  31  16   1    1   12   2   2    1 -100    2   80 2024
3   1   43   5   0  49  12   1 -100   12   1   2    1    2    1   81 2024
3   1   40   4   2  59  16   2    2   12   2   2    2 -100    2   82 2024
1   4 -100   1   2  65 -98   1    1   12   2   3    2 -100  -97   83 2024
1   7 -100   1   5  74   3   2    2    6   1   3    2 -100    2   84 2024
1   7 -100   4   3  47  17   2 -100 -100   2   3    1 -100  -98   85 2024
3   7 -100   1   8  62  14   2    3   12   2   3    2    1    1   86 2024
1   2   30   4   3  37  13   2    3    2 -98   2    2 -100    2   87 2024
1   1   40   3   2  50  12   2 -100   12   2   2    1 -100    1   88 2024
2   2   20   5   3  34  14   2 -100   12   1   2 -100    2    2   89 2024
3   2   35   1   0  36  16   1    3   11   2   1    1    1    1   90 2024
3   5 -100   2   2  75  14   2    2   12   2   1    1    1 -100   91 2024
2   8 -100   3   3  41  13   2 -100   12   3   3 -100    2 -100   92 2024
1   7 -100   1   3  36   7   2    3   12   1   2    2 -100  -98   93 2024
1   1   42   1   8  41  17   1    3 -100   1   1    1 -100    2   94 2024
2   5 -100   1   2  79  12   1    1   12   2   2 -100 -100 -100   95 2024
1   1   40   5   0  26  13   1    2   12   2   2    1 -100    2   96 2024
1   5 -100   5   1  55  12   2    2    9   2   2    1 -100 -100   97 2024
1   1   35   5   0  34  12   1 -100 -100   2   1    2 -100    2   98 2024
3   1   40   5   0  54  12   1    2   12   2   3    1    2    2   99 2024
2   1   50   5   0  61  15   2    2   12   1   2 -100    1    1  100 2024
3   5 -100   5   0  72  14   2    2   12   2   2    1    1 -100  101 2024
1   1   40   5   0  54  16   2    2   12   2   1    1 -100    4  102 2024
1   3 -100   4   1  57  20   2    2   12   3   3    2 -100    4  103 2024
2   1   40   1   0  60  18   1    3  -90   1   2 -100    2    1  104 2024
1   5 -100   5   0  86  16   2 -100 -100   2   3    2 -100 -100  105 2024
1   5 -100   1   2  66  12   1    1   12   2   2    2 -100 -100  106 2024
1   1   35   2   3  55  12   2    3   12   1   2    1 -100    3  107 2024
3   1   40   1   2  48  12   1    2   12   1   2    1    2    1  108 2024
1   2   28   5   2  34  14   2    2    8   2   2    1 -100    2  109 2024
2   1   36   3   0  32  16   2    3   12   2   3 -100 -100    3  110 2024
2   5 -100   3   0  68  15   2    3    9   3   2 -100    2 -100  111 2024
3   7 -100   5   0  35  12   2    2 -100   1   2    3 -100    4  112 2024
1   2   28   5   5  44  12   2    1   11   2   3    3 -100    1  113 2024
2   7 -100   4   2  48  12   1    2   12   3   2 -100    2    1  114 2024
2   8 -100   3   7  43  14   1 -100  -90   3   4 -100    2 -100  115 2024
1   6 -100   4   4  43  13   2    2    9   2   2    2 -100 -100  116 2024
2   4 -100   4   6  45  12   2    1    3   1   3 -100    3    1  117 2024
3   5 -100   5   1  63  13   2 -100 -100   2   3    2    2 -100  118 2024
3   4 -100   5   0  27  12   1 -100   12   3   1    3    2    4  119 2024
1   2   31   3   2  37  16   2    3   12   3   2    2 -100    2  120 2024
2   5 -100   1   1  60  12   2    2 -100   2   2 -100    2 -100  121 2024
3   4 -100 -97   4  22 -98   1    2    1 -97 -97    1 -100    1  122 2024
2   4 -100   5   0  44  10   1    2    1   3   3 -100    2    2  123 2024
1   1   40   5   0  24  12   1    3   12   2   1    2 -100    1  124 2024
2   3 -100   5   6  51  13   1    2    9   3   2 -100    2    1  125 2024
3   2   25   5   2  39  14   2    2    3   2   3    2    2    2  126 2024
2   1   40   5   1  55  20   1    2 -100   2   3 -100 -100    1  127 2024
3   8 -100   5   4  48  11   2    1    9   3   1    1    2 -100  128 2024
3   1   45   1   0  60  16   1    1   12   2   3    2 -100    1  129 2024
2   1   40   3   2  60  16   2    1   12   3   1 -100 -100    1  130 2024
2   7 -100   2   1  70  17   2    3 -100   3   3 -100 -100  -97  131 2024
3   5 -100   1   2  65  18   1    1   12   2   2    1 -100 -100  132 2024
2   1   40   5   0  54  13   1    2    1   3   3 -100    2    3  133 2024
3   7 -100   5   4  45  11   2    2    9   2   2    2    1    3  134 2024
3   2   25   1   5  38  12   2    3   11   3   3    2    2    2  135 2024
2   1   40   5   1  22  15   1    3    2   2   2 -100 -100    2  136 2024
3   5 -100   2   1  76  16   2    1   12   2   2    2 -100 -100  137 2024
3   1   45   1   3  42  20   1    1   12   1   2    1 -100    2  138 2024
2   7 -100   2   2  89  16   2    1   12   1   2 -100    1    1  139 2024
3   5 -100   2   5  89  12   2    1   12   2   2    2 -100 -100  140 2024
